sleep_percent,total_energy_Wh,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_drops,avg_sleep_nodes,avg_alive_capacity_fraction
0,3583302.929082399,12.631859695897166,12.483558262470588,20.097383931712393,92215,0.0,1.0
10,3558249.4245118415,12.635736085694187,12.488677732010721,20.102552957139775,92348,0.7450396825396826,0.9930869793353857
20,3505002.646276141,12.641329580527607,12.492979883682299,20.12255834515066,92693,2.327876984126984,0.9570314608978413
30,3443379.559227052,12.640704109430514,12.490398286247416,20.124520873079856,93079,4.159722222222222,0.9342009249136178
40,3347104.338504794,12.644141131610535,12.489804969460542,20.14404168456466,93695,7.021825396825397,0.9004224705755324
50,3251356.647622838,12.640302100017369,12.487353809645214,20.130344343051714,94184,9.868551587301587,0.871325737636324
60,3165709.6419742997,12.640719512488001,12.48986967670286,20.132321124355933,94627,12.415178571428571,0.8377832779937457
70,3072308.309045404,12.637677229440625,12.486819852629843,20.120505996656313,94990,15.19295634920635,0.8227059797133109
80,2988687.238197206,12.636379943725762,12.486329534096852,20.112302027142988,95248,17.67956349206349,0.7923664257369649
90,2896655.749361013,12.634026650294064,12.484106811000192,20.102477926761892,95519,20.416666666666668,0.7777461431001034
