sleep_percent,avg_latency_ms,p50_latency_ms,p95_latency_ms
0,12.631859695897166,12.483558262470588,20.097383931712393
10,12.635736085694187,12.488677732010721,20.102552957139775
20,12.641329580527607,12.492979883682299,20.12255834515066
30,12.640704109430514,12.490398286247416,20.124520873079856
40,12.644141131610535,12.489804969460542,20.14404168456466
50,12.640302100017369,12.487353809645214,20.130344343051714
60,12.640719512488001,12.48986967670286,20.132321124355933
70,12.637677229440625,12.486819852629843,20.120505996656313
80,12.636379943725762,12.486329534096852,20.112302027142988
90,12.634026650294064,12.484106811000192,20.102477926761892
