upgrade_percent,avg_latency_ms,p50_latency_ms,p95_latency_ms
0,12.631859695897166,12.483558262470588,20.097383931712393
10,12.56463644605046,12.423555710552645,19.976304121008255
20,12.513902790678578,12.375696901066398,19.91845025993021
30,12.468120113302787,12.334949109287976,19.846299866704662
40,12.411357481440392,12.287575594655749,19.787716721981937
50,12.370915887842909,12.238433367799104,19.71815244085523
60,12.311734246159846,12.182417659513291,19.589640006920988
70,12.155630225495146,12.070342947937103,19.24995507302865
80,12.04669419304781,11.959644663747387,19.058886085199205
90,11.8742779805366,11.78575773128162,18.776181641244058
100,11.256107370258714,11.182870646850581,17.97277771545295
